Date,User,Tweets
2019-08-29 09:31:31+00:00,ImranKhanPTI,"I want all Pakistanis to come out tomorrow 12 noon -12.30 pm to show solidarity with the Kashmiri people and send the Kashmiris in IOK a clear message that the entire Pakistani nation  stands in solidarity with them &amp; against Indian fascist oppression, the inhumane 24-day curfew,"
2019-08-23 09:01:18+00:00,ImranKhanPTI,I want to warn the international community that the Indian leadership will in all probability attempt a false flag operation to divert attention from its massive human rights violations &amp; the  unleashing of a reign of terror in IOJK.
2019-08-23 09:01:18+00:00,ImranKhanPTI,"We are hearing Indian media claims that some terrorists from Afghanistan have entered IOJK for terrorist activities, while others have entered India's southern regions. These claims are predictable to divert attention from India's ethnic cleansing &amp; genocide agenda in IOJK."
2019-08-22 05:16:10+00:00,ImranKhanPTI,"The Indian Occupation Forces have even denied them their right to observe their religious practices, including Eid ul Azha.
As the world shows solidarity for victims of violence based on religion &amp; belief, it must also move to prevent an impending genocide of Kashmiris in IOK."
2019-08-22 05:16:06+00:00,ImranKhanPTI,"Today, on the 1st International Day for Victims of Violence based on Religion or Belief, we call attention to the plight of millions of Kashmiris living under brutal Indian Occupation, abuse &amp; violence, deprived of all fundamental rights &amp; freedoms."
2019-08-21 12:17:38+00:00,ImranKhanPTI,The govt's consistent focus on reducing our external imbalances by reducing imports &amp; increasing exports &amp; remittances are bearing fruit. Current account deficit reduced by more than $6 bn last yr &amp; July this yr deficit is 73% or $1.5 bn lower than July 2018 - a great achievement
2019-08-18 08:15:25+00:00,ImranKhanPTI,The Hindu Supremacist Modi Govt poses a threat to Pakistan as well as to the minorities in India &amp; in fact to the very fabric of Nehru &amp; Gandhi's India. To understand the link between Nazi ideology &amp; the ethnic cleansing &amp; genocide ideology of RSS-BJP Founding Fathers just Google
2019-08-18 07:48:38+00:00,ImranKhanPTI,"The World must also seriously consider  the safety &amp; security of India's nuclear arsenal in the control of the fascist, racist Hindu Supremacist Modi Govt. This is an issue that impacts not just the region but the world."
2019-08-18 07:48:37+00:00,ImranKhanPTI,"Already 4m Indian Muslims face detention camps &amp; cancellation of citizenship. World must take note as this genie is out of the bottle &amp; the doctrine of hate &amp; genocide, with RSS goons on the rampage, will spread unless the international community acts now to stop it."
2019-08-18 07:48:37+00:00,ImranKhanPTI,"And the threat also extends to Pakistan, the minorities in India &amp; in fact the very fabric of Nehru &amp; Gandhi's India. One can simply Google to understand the link between the Nazi ideology &amp; ethnic cleansing &amp; genocide ideology of the RSS-BJP Founding Fathers."
2019-08-18 07:48:36+00:00,ImranKhanPTI,"India has been captured, as Germany had been captured by Nazis, by a fascist, racist Hindu Supremacist ideology &amp; leadership.This threatens 9m Kashmiris under siege in IOK for over 2 weeks which shd have sent alarm bells ringing across the world with UN Observers being sent there"
2019-08-17 07:42:45+00:00,ImranKhanPTI,And the UNSC meeting was a reaffirmation of these resolutions. Therefore addressing the suffering of the Kashmiri people &amp; ensuring resolution of the dispute is the responsibility of this world body.
2019-08-17 07:42:45+00:00,ImranKhanPTI,I welcome the UNSC meeting to discuss the serious situation in Occupied Jammu &amp; Kashmir. It is for the first time in over 50 yrs that the world’s highest diplomatic forum has taken up this issue. There are 11 UNSC resolutions reiterating the Kashmiris right to self determination.
2019-08-16 06:21:25+00:00,ImranKhanPTI,That is why the Hindutva exclusivist creed of the Modi-led Govt with its fascist tactics in IOK will fail miserably in its attempt to smother the Kashmiri liberation struggle.
2019-08-16 06:21:24+00:00,ImranKhanPTI,"The fascist, Hindu Supremacist Modi Govt should know that while armies, militants &amp; terrorists can be defeated by superior forces; history tells us that when a nation unites in a freedom struggle &amp; does not fear death, no force can stop it from achieving its goal."
2019-08-15 04:56:08+00:00,ImranKhanPTI,"Will world silently witness another Srebrenica-type massacre &amp; ethnic cleansing of Muslims in IOK? I want to warn international community if it allows this to happen, it will have severe repercussions &amp; reactions in the Muslim world setting off radicalisation &amp; cycles of violence"
2019-08-15 04:56:07+00:00,ImranKhanPTI,"In IOK, 12 days of curfew, presence of extra troops in an already heavily militarized occupied territory, sending in of RSS goons, complete communication blackout; with the example of Modi's earlier ethnic cleansing of Muslims in Gujarat"
2019-08-12 06:06:37+00:00,ImranKhanPTI,I have directed all MNAs/MPAs of Karachi to be in their constituencies throughout Eid &amp; Independence Day holidays &amp; provide all assistance to the ppl. The Federal Govt is drafting a comprehensive package to end the decades of neglect &amp; suffering of the ppl of this gt metropolis.
2019-08-11 07:58:56+00:00,ImranKhanPTI,"I am afraid this RSS ideology of Hindu Supremacy, like the Nazi Aryan Supremacy, will not stop in IOK; instead it will lead to suppression of Muslims in India &amp; eventually lead to targeting of Pakistan. The Hindu Supremacists version of Hitler's Lebensraum."
2019-08-11 07:58:56+00:00,ImranKhanPTI,"The curfew, crackdown &amp; impending genocide of Kashmiris in IOK is unfolding exactly acc to RSS ideology inspired by Nazi ideology. Attempt is to change demography of Kashmir through ethnic cleansing. Question is: Will the world watch &amp; appease as they did Hitler at Munich?"
2019-08-08 13:58:24+00:00,ImranKhanPTI,"What should be obvious is the int community will be witnessing the genocide of the Kashmiris in IOK. Question is: Will we watch another appeasement of fascism, this time in the garb of BJP govt, or will the int community have the moral courage to stop this from happening?"
2019-08-08 13:58:23+00:00,ImranKhanPTI,"The whole world is waiting to see what happens to oppressed Kashmiris in IOK when curfew is lifted. Does the BJP govt think by using greater military force against Kashmiris in IOK, it will stop the freedom movement? Chances are it will gain momentum."
2019-08-04 10:34:57+00:00,ImranKhanPTI,President Trump offered to mediate on Kashmir. This is the time to do so as situation deteriorates there and along the LOC with new aggressive actions being taken by Indian occupation forces. This has the potential to blow up into a regional crisis.
2019-08-04 10:34:56+00:00,ImranKhanPTI,It is time to end the long night of suffering for the people of Occupied Kashmir. They must be allowed to exercise their right to self determination according to UN SC resolutions.The only road to peace &amp; security in South Asia runs through a peaceful &amp; just settlement of Kashmir
2019-08-04 10:34:56+00:00,ImranKhanPTI,I condemn India's attack across LOC on innocent civilians &amp; it's use of cluster munitions in violation of int humanitarian law and it's own commitments under the 1983 Convention on Certain Conventional Weapons. UNSC must take note of this international threat to peace &amp; security.
2019-07-27 11:41:58+00:00,ImranKhanPTI,"I salute our armed forces personnel who continue to lay down their lives fighting terrorists to keep the nation safe. My condolences &amp; prayers go to the families of the10 brave soldiers, including an officer, martyred fighting terrorists in North Waziristan &amp; Balochistan today."
2019-07-24 17:10:31+00:00,ImranKhanPTI,Congratulations Rt. Hon. Boris Johnson MP on your election as Conservative Party Leader &amp; on assuming PM's Office. I am confident that under your leadership not only the UK &amp; its people will prosper but our bilateral relations will also flourish.I look forward to working with you
2019-07-23 12:32:45+00:00,ImranKhanPTI,3. Surprised by reaction of India to Pres Trump's offer of mediation to bring Pak &amp; India to dialogue table for resolving Kashmir conflict which has held subcontinent hostage for 70 yrs. Generations of Kashmiris have suffered &amp; are suffering daily and need conflict resolution.
2019-07-23 12:26:01+00:00,ImranKhanPTI,2. I want to assure President Trump Pakistan will do everything within its power to facilitate the Afghan peace process. The world owes it to the long-suffering Afghan people to bring about peace after 4 decades of conflict.
2019-07-23 12:25:24+00:00,ImranKhanPTI,"1. I want to thank President Trump for his warm &amp; gracious hospitality, his understanding of Pakistan's point of view &amp; his wonderful way of putting our entire delegation at ease. Appreciate the President taking out time to show us the historic White House private quarters."
2019-07-18 03:50:14+00:00,ImranKhanPTI,"Appreciate ICJ’s decision not to acquit, release &amp; return Commander Kulbhushan Jadhav to India. He is guilty of crimes against the people of Pakistan. Pakistan shall proceed further as per law."
2019-07-13 11:39:09+00:00,ImranKhanPTI,"The poverty of the people is the actual cause of the devastation and ruination of a country; &amp; the main cause of the poverty of the people is the desire of its ruler and officers to amass wealth and possessions whether by fair or foul means
Hazrat Ali (AS) 
Nahjul Balagha"
